101 -25 20
103 -30 20
105 -15 19
107 -171 19
109 81 19
111 65 19
113 -91 19
115 91 19
117 96 16
119 -252 16
121 -101 16
123 201 16
125 483 16
127 458 16
129 126 13
131 101 13
133 -126 13
135 45 13
137 15 13
139 -91 13
141 -81 11
143 -141 11
145 136 11
147 50 11
149 -45 11
151 161 11
153 -221 11
155 -186 9
157 176 9
159 -50 9

101 0,08589586614660163
152,87939698492463 0,06472345923440144
153,17085427135677 0,06341127651431823
153,46231155778895 0,062138369331646556
153,7537688442211 0,06090319468251294
154,04522613065325 0,05970428416573595
154,33668341708542 0,05854023972105906
154,6281407035176 0,057409729647056665
154,91959798994975 0,05631148487806038
155,2110552763819 0,05524429550114283
155,50251256281408 0,054207007495733976
155,79396984924622 0,05319851967984627
156,0854271356784 0,05221778084816169
156,37688442211055 0,05126378708840488
156,6683417085427 0,050335579263485884
156,95979899497488 0,049432240647875804
157,25125628140702 0,04855289470756627
157,5427135678392 0,04769670301377914
157,83417085427135 0,046862863281343245
158,1256281407035 0,04605060752333511
158,41708542713567 0,04525920031421364
158,70854271356785 0,04448793715425239
159 0,04373614292860399
