-3 -0,9999778948511022
0,203125 0,22608824975860098
0,21875 0,24295157221213481
0,234375 0,25970002206033393
0,25 0,2763262613535272
0,265625 0,29282312443112946
0,28125 0,3091836271257884
0,296875 0,32540097553463576
0,3125 0,34146857434073463
0,328125 0,3573800346691889
0,34375 0,37312918146381013
0,359375 0,38871006037168965
0,375 0,40411694412452026
0,390625 0,41934433840704033
0,40625 0,4343869872044932
0,421875 0,44923987762257866
0,4375 0,4638982441749069
0,453125 0,4783575725345548
0,46875 0,49261360274786237
0,484375 0,5066623319101737
0,5 0,5205000163047472
0,515625 0,5341231730075735
0,53125 0,5475285809623275
0,546875 0,5607132815311084
0,5625 0,5736745785280603
0,578125 0,5864100377443
0,59375 0,5989174859739224
0,609375 0,6111950095520926
0,625 0,6232409524174616
0,640625 0,635053913712271
0,65625 0,6466327449346094
0,671875 0,6579765466582752
0,6875 0,6690846648366712
0,703125 0,6799566867080015
0,71875 0,6905924363198559
0,734375 0,7009919696919784
0,75 0,7111555696366565
0,765625 0,7210837402567457
0,78125 0,7307772011418079
0,796875 0,7402368812832678
0,8125 0,7494639127298042
0,828125 0,7584596240044511
0,84375 0,767225533305043
0,859375 0,7757633415097445
0,875 0,7840749250094136
0,890625 0,792162328388496
0,90625 0,8000277569760232
0,921875 0,8076735692880902
0,9375 0,8151022693829258
0,953125 0,8223164991493439
0,96875 0,829319030548979
0,984375 0,8361127578322609
1 0,8427006897475899
1,015625 0,8490859417626198
1,03125 0,8552717283159617
1,046875 0,8612613551169819
1,0625 0,8670582115106826
1,078125 0,8726657629239438
1,09375 0,878087543408649
1,109375 0,8833271482964475
1,125 0,8883882269790989
1,140625 0,893274475827527
1,15625 0,8979896312618688
1,171875 0,9025374629839563
1,1875 0,9069217673828024
1,203125 0,9111463611228008
1,21875 0,9152150749234795
1,234375 0,9191317475387761
1,25 0,9229002199429472
1,265625 0,9265243297293622
1,28125 0,9300079057275923
1,296875 0,9333547628433712
1,3125 0,9365686971251905
1,328125 0,9396534810604973
1,34375 0,9426128591036846
1,359375 0,9454505434373155
1,375 0,9481702099672927
1,390625 0,950775494551989
1,40625 0,9532699894646772
1,421875 0,9556572400879639
1,4375 0,957940741838313
1,453125 0,9601239373181749
1,46875 0,9622102136926851
1,484375 0,9642029002873893
1,5 0,966105266402972
1,515625 0,9679205193425234
1,53125 0,9696518026464728
1,546875 0,9713021945299389
1,5625 0,9728747065169145
1,578125 0,9743722822653922
1,59375 0,9757977965772701
1,609375 0,9771540545866384
1,625 0,9784437911198424
1,640625 0,979669670220542
1,65625 0,9808342848328497
1,671875 0,9819401566355143
1,6875 0,9829897360200305
1,703125 0,9839854022055096
1,71875 0,9849294634831037
1,734375 0,985824157582785
1,75 0,986671652155294
1,765625 0,9874740453621192
1,78125 0,9882333665664326
1,796875 0,9889515771179918
1,8125 0,9896305712251252
1,828125 0,9902721769070343
1,84375 0,9908781570197879
1,859375 0,9914502103495325
1,875 0,9919899727666103
1,890625 0,9924990184344497
1,90625 0,9929788610672853
1,921875 0,9934309552309559
1,9375 0,9938566976812384
1,953125 0,9942574287343816
1,96875 0,9946344336647265
1,984375 0,9949889441245152
2 0,9953221395812188
2,015625 0,9956351487679407
2,03125 0,9959290511426768
2,046875 0,996204878352449
2,0625 0,9964636156985469
2,078125 0,9967062035993479
2,09375 0,9969335390474042
