0,1 2,2527126413844205
0,13125 1,9682271449642974
0,1625 1,743446562332238
0,19375 1,557643824073814
0,225 1,3994470380121862
0,25625 1,2619316495008839
0,2875 1,1405614921316656
0,31875 1,0321991106891957
0,35 0,9345812181030014
0,38125 0,8460193228258055
0,4125 0,7652186293206975
0,44375 0,6911632064689521
0,475 0,6230402867315521
0,50625 0,5601887011576765
0,5375 0,5020627596297735
0,56875 0,4482063315936418
0,6 0,39823385013965
0,63125 0,3518161289501223
0,6625 0,3086695964393923
0,69375 0,2685480022074602
0,725 0,23123594259313573
0,75625 0,19654374518635992
0,7875 0,16430338262293442
0,81875 0,13436517579648308
0,85 0,10659510950167975
0,88125 0,08087262823070834
0,9125 0,05708881208507324
0,94375 0,03514485631855055
0,975 0,014950795443019416
1,00625 -0,003575578597249631
1,0375 -0,02050961362376847
1,06875 -0,0359206056441943
1,1 -0,04987245160962511
1,13125 -0,062424232546106725
1,1625 -0,07363071488010697
1,19375 -0,08354278667486667
1,225 -0,09220783876553068
1,25625 -0,09967009902863533
1,2875 -0,10597092661306629
1,31875 -0,11114907182030559
1,35 -0,11524090639567641
1,38125 -0,1182806282347102
1,4125 -0,12030044388670397
1,44375 -0,1213307317235594
1,475 -0,12140018821594378
1,50625 -0,12053595940371181
1,5375 -0,11876375935054578
1,56875 -0,11610797712333515
1,6 -0,11259177362634071
1,63125 -0,10823716944244521
1,6625 -0,1030651246823675
1,69375 -0,09709561171403258
1,725 -0,0903476815343266
1,75625 -0,08283952445072595
1,7875 -0,07458852565941454
1,81875 -0,06561131623619232
1,85 -0,05592381999609519
1,88125 -0,04554129662495032
1,9125 -0,03447838144041726
1,94375 -0,02274912210035207
1,975 -0,010367012541270482
2,00625 0,0026549711533865317
2,0375 0,01630435949894793
2,06875 0,0305691356246387
2,1 0,04543772819469982
2,13125 0,06089898348589218
2,1625 0,07694214359926743
2,19375 0,09355682613793637
2,225 0,1107330052311597
2,25625 0,12846099379661358
2,2875 0,14673142694268793
2,31875 0,16553524642193407
2,35 0,18486368605466175
2,38125 0,20470825804921577
2,4125 0,22506074015175503
2,44375 0,2459131635644073
2,475 0,26725780157583945
2,50625 0,2890871588531163
2,5375 0,31139396134799013
2,56875 0,3341711467746219
2,6 0,3574118556193949
2,63125 0,38110942264642134
2,6625 0,4052573688655047
2,69375 0,4298493939318414
2,725 0,4548793689489965
2,75625 0,48034132964919296
2,7875 0,5062294699266112
2,81875 0,5325381357014733
2,85 0,5592618190941383
2,88125 0,5863951528900986
2,9125 0,6139329052781366
2,94375 0,6418699748450551
2,975 0,6702013858118148
3,00625 0,6989222790495755
3,0375 0,7280279256318287
3,06875 0,7575136957678748
3,1 0,7873750729240772
3,13125 0,8176076455355821
3,1625 0,8482071034231649
3,19375 0,8791692343699753
3,225 0,9104899208493633
3,25625 0,9421651368956676
3,2875 0,9741909451102273
3,31875 1,0065634937955423
3,35 1,0392790142107293
3,38125 1,0723338179420898
3,4125 1,105724294382759
3,44375 1,1394469083159462
3,475 1,173498197596493
3,50625 1,2078747709258586
3,5375 1,2425733057158959
3,56875 1,2775905460370296
3,6 1,3129233006468313
3,63125 1,3485684410949759
3,6625 1,3845228999010482
3,69375 1,4207836688017623
3,725 1,457347797064204
3,75625 1,4942123898622122
3,7875 1,5313746067128484
3,81875 1,5688316599703247
3,85 1,6065808133746975
3,88125 1,6446193806529201
3,9125 1,6829447241699556
3,94375 1,721554253627646
3,975 1,760445424809408
4,00625 1,7996157339215098
4,0375 1,8390627342984955
4,06875 1,8787840083285685
4,1 1,9187771844151778
4,13125 1,95903993138662
4,1625 1,9995699574768036
4,19375 2,040365009339853
4,225 2,0814228710970992
4,25625 2,1227413634152077
4,2875 2,16431834261411
4,31875 2,2061516998036543
4,35 2,2482393600477044
4,38125 2,2905792815547446
