# x_n y_n
0 3,041592653589793
3,4464049116572255 -1,2665120679933166
3,4664049116572255 -1,2182867587778334
3,4864049116572255 -1,1684288686515878
3,5064049116572256 -1,1169831423796588
3,526208406044373 -1,064528103936153
3,545587119280373 -1,011792110846875
3,5644100472075606 -0,959291459277295
3,5826167385740892 -0,9073665898194043
3,6001948189348947 -0,85622140685471
3,617162441941521 -0,8059600837348462
3,633555475611966 -0,7566180504572267
3,649418701873168 -0,7081860787397647
3,664800119218245 -0,6606278619166982
3,67974748175199 -0,613892195277271
3,6943063611821865 -0,5679210293702566
3,7085191960561636 -0,5226545489694271
3,7224249509964893 -0,47803420338126795
3,7360591328865116 -0,43400437846490236
3,749454001003026 -0,39051319975966947
3,762638870014691 -0,347512800717496
3,775640445701193 -0,30495927701237
3,788483159450483 -0,2628124690705394
3,8011894838703553 -0,22103566168572547
3,8137802216520456 -0,17959525448731473
3,8262747655048623 -0,13846043444444306
3,8386913301042083 -0,09760286739745691
3,8510471585703483 -0,05699641693416984
3,8633587066610255 -0,016616893817609696
3,8756418080138615 0,023558163673981655
3,8879118236547963 0,06354967956152013
3,900183778738229 0,10337720174975029
3,9124724891827856 0,14305903700600936
3,9247926805550897 0,18261236062517383
3,9371591012498177 0,22205330151428276
3,949586631719219 0,2613970026976498
3,9620903912097316 0,3006576563474929
3,974685843148236 0,33984851136576233
3,987388899957019 0,37898185023302255
4,000216027623425 0,4180689302278727
4,013184349749811 0,457119882107087
4,026311749980972 0,4961435567953255
4,0396169705371126 0,535147307406332
4,0531197029140795 0,5741366898189453
4,066840664434606 0,6131150598582938
4,080801650957195 0,652083038698703
4,095025551302162 0,6910378103141807
4,10953630238962 0,7299722058010094
4,124358755227381 0,7688735198607346
4,139518410381086 0,807721996378072
4,155040967494915 0,8464889164653844
4,170951618001762 0,8851342303495376
4,187273996815458 0,9236037056079387
4,2040287049758165 0,9618256361747707
4,221231334332898 0,999707292095036
4,238889987523178 1,0371315101313392
4,257002414439485 1,0739541296558435
4,275553091090336 1,1100033099977826
4,294510819699824 1,1450819723149557
4,313827632465172 1,1789744449013349
4,33343977377603 1,2114576265619748
4,353271175288691 1,242315640672719
